,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,IDENTIFIER,
"2879,01-08-0346-46,01-603,GUATEMALA,MIXCO,ACADEMIA_COMERCIAL_E_INSTITUTO_LOURDES,""5A. AVENIDA 6-51 """"A"""" ZONA 1"",55184534,ROSA ALBELIA ARDON DE MOTTA,ESTEBAN TOCON XICAY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN_DE_SEMANA,GUATEMALA OCCIDENTE,ACADEMIA_COMERCIAL_E_INSTITUTO_LOURDES | ABIERTA | FIN_DE_SEMANA | MONOLINGUE | DOBLE | GUATEMALA,",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2964,01-08-1735-46,01-621,GUATEMALA,MIXCO,ACADEMIA_COMERCIAL_E_INTITUTO_LOURDES,5A AVE. 6-51 A ZONA 1,55184534,MARTA LUZ BETETA ORTIZ DE JORDAN,ESTEBAN TOCÓN XICAY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIOREGULAR,GUATEMALA OCCIDENTE,ACADEMIA_COMERCIAL_E_INTITUTO_LOURDES | ABIERTA | DIARIOREGULAR | MONOLINGUE | VESPERTINA | GUATEMALA,
1893,00-13-7170-46,01-501,CIUDAD_CAPITAL,ZONA 13,ACADEMIA_DE_ESTUDIOS_AVANZADOS_F15,15 AVENIDA A 24-08,23322290,JULIO JACOBO GIL URBINA,SERGIO LEONEL AZURDIA MONTENEGRO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIOREGULAR,GUATEMALA ORIENTE,ACADEMIA_DE_ESTUDIOS_AVANZADOS_F15 | ABIERTA | DIARIOREGULAR | MONOLINGUE | MATUTINA | CIUDAD_CAPITAL,
1894,00-13-7171-46,01-504,CIUDAD_CAPITAL,ZONA 13,ACADEMIA_DE_ESTUDIOS_AVANZADOS_F15,AVENIDA HINCAPIE 16-72,23345705,DAVID SOTOJ SANCHEZ,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA_TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIOREGULAR,GUATEMALA ORIENTE,ACADEMIA_DE_ESTUDIOS_AVANZADOS_F15 | CERRADA_TEMPORALMENTE | DIARIOREGULAR | MONOLINGUE | VESPERTINA | CIUDAD_CAPITAL,
"1494,00-06-3097-46,01-101,CIUDAD_CAPITAL,ZONA 6,ACADEMIA_DE_LA_POLICIA_NACIONAL,""15 CALLE 16-00, COLONIA CIPRESALES ZONA 6"",22563642,MARIA ESTELA MARROQUIN CHUR DE ORTEGA,NA,DIVERSIFICADO,OFICIAL,URBANA,CERRADA_TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIOREGULAR,GUATEMALA NORTE,ACADEMIA_DE_LA_POLICIA_NACIONAL | CERRADA_TEMPORALMENTE | DIARIOREGULAR | MONOLINGUE | MATUTINA | CIUDAD_CAPITAL,",,,,,,,,,,,,,,,,,,,
"3034,01-08-7590-46,01-621,GUATEMALA,MIXCO,ACADEMIA_E_INSTITUTO_LOURDES,5 AVENIDA 'A' 6-51 ZONA 1 DE MIXCO,""55987951, 53088873"",MARTA LUZ BETETA ORTIZ DE JORDAN,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA_TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIOREGULAR,GUATEMALA OCCIDENTE,ACADEMIA_E_INSTITUTO_LOURDES | CERRADA_TEMPORALMENTE | DIARIOREGULAR | MONOLINGUE | MATUTINA | GUATEMALA,",,,,,,,,,,,,,,,,,,,
1717,00-10-2914-46,01-110,CIUDAD_CAPITAL,ZONA 10,ANEXA_A_COLEGIO_TECNICO_EN_COMPUTACION,9A CALLE 2-65,23319516,ZUHILEM YESENIA ESTRADA ORTIZ,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA_TEMPORALMENTE,MONOLINGUE,INTERMEDIA,DIARIOREGULAR,GUATEMALA ORIENTE,ANEXA_A_COLEGIO_TECNICO_EN_COMPUTACION | CERRADA_TEMPORALMENTE | DIARIOREGULAR | MONOLINGUE | INTERMEDIA | CIUDAD_CAPITAL,
1418,00-03-8342-46,NA,CIUDAD_CAPITAL,ZONA 3,ASOCAICION_DE_ALFABETIZACION_Y_SUPERACION_INTEGRAL_CRISTIANA_POR_MADUREZ,6A. AVENIDA 27-96,24406218,NA,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA_TEMPORALMENTE,MONOLINGUE,MATUTINA,FIN_DE_SEMANA,GUATEMALA NORTE,ASOCAICION_DE_ALFABETIZACION_Y_SUPERACION_INTEGRAL_CRISTIANA_POR_MADUREZ | CERRADA_TEMPORALMENTE | FIN_DE_SEMANA | MONOLINGUE | MATUTINA | CIUDAD_CAPITAL,
4127,13-26-0190-46,13-043,HUEHUETENANGO,SANTA CRUZ BARILLAS,ASOCIACION_DE_MAESTROS_DE_EDUCACION_DE_GUATEMALA_AMERG,CABECERA MUNICIPAL,48729312,ARACELY FIGUEROA URBINA,JUAN PASCUAL LUCAS ANTONIO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA_TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIOREGULAR,HUEHUETENANGO,ASOCIACION_DE_MAESTROS_DE_EDUCACION_DE_GUATEMALA_AMERG | CERRADA_TEMPORALMENTE | DIARIOREGULAR | MONOLINGUE | MATUTINA | HUEHUETENANGO,
